college,college_tier
GOVERNMENT COLLEGE OF ENGINEERING AMRAVATI,TIER 3
GOVERNMENT COLLEGE OF ENGINEERING AND CERAMIC TECHNOLOGY,TIER 3
"GOVERNMENT COLLEGE OF ENGINEERING AND RESEARCH, PUNE",TIER 3
"GOVERNMENT COLLEGE OF ENGINEERING AND TEXTILE TECHNOLOGY, SERAMPORE",TIER 3
"GOVERNMENT COLLEGE OF ENGINEERING, AURANGABAD",TIER 3
"GOVERNMENT COLLEGE OF ENGINEERING, NAGPUR",TIER 3
GOVERNMENT COLLEGE OF TECHNOLOGY,TIER 3
GOVERNMENT COLLEGE OF TECHNOLOGY COIMBATORE,TIER 2
GOVERNMENT ENGINEERING COLLEGE AJMER,TIER 3
GOVERNMENT ENGINEERING COLLEGE JAGDALPUR,TIER 3
GOVERNMENT WOMEN'S ENGINEERING COLLEGE,TIER 3
"GOVIND BALLABH PANT ENGINEERING COLLEGE, PAURI UTTRAKHAND",TIER 3
GPULLA REDDY ENGINEERING COLLEGE,TIER 3
GRAPHIC ERA DEEMED UNIVERSITY,TIER 3
GRAPHIC ERA HILL UNIVERSITY,TIER 3
GTBIT,TIER 3
GUDLAVALLERU ENGINEERING COLEGE,TIER 3
GUJARAT TECHNOLOGICAL UNIVERSITY,TIER 3
GURU JAMBHESHWAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,TIER 3
GURU NANAK DEV ENGINEERING COLLEGE,TIER 3
GURU NANAK DEV UNIVERSITY,TIER 3
"GURU NANAK INSTITUTIONS TECHNICAL CAMPUS, HYDERABAD",TIER 3
HALDIA INSTITUTE OF TECHNOLOGY,TIER 3
HBTI KANPUR,TIER 2
HERITAGE INSTITUTE OF TECHNOLOGY,TIER 3
HINDUSTAN UNIVERSITY,TIER 3
HKBK COLLEGE OF ENGINEERING,TIER 3
HMR INSTITUTE OF TECHNOLOGY AND MANAGEMENT,TIER 3
ICFAI,TIER 3
ICFAI BUSINESS SCHOOL,TIER 3
ICFAI UNIVERSITY,TIER 3
IET DAVV,TIER 2
IET LUCKNOW,TIER 2
IGNOU,TIER 3
IIEST SHIBPUR,TIER 2
IIIT ALLAHABAD,TIER 1
IIIT BANGALORE,TIER 1
IIIT BHUBANESWAR,TIER 2
IIIT DELHI,TIER 1
IIIT GUWAHATI,TIER 2
IIIT HYDERABAD,TIER 1
IIIT JABALPUR,TIER 2
IIIT KALYANI,TIER 2
IIIT KOTTAYAM,TIER 2
IIIT MANIPUR,TIER 2
IIIT PUNE,TIER 2
IIIT SRICITY,TIER 2
IIIT TRICHY,TIER 2
IIIT VADODARA,TIER 2
IISC,TIER 1
IIT,TIER 3
IIT BHU,TIER 1
IIT BHUBANESWAR,TIER 1
IIT BOMBAY,TIER 1
IIT DELHI,TIER 1
IIT GANDHINAGAR,TIER 1
IIT GUWAHATI,TIER 1
IIT HYDERABAD,TIER 1
IIT INDORE,TIER 1
IIT JODHPUR,TIER 1
IIT KANPUR,TIER 1
IIT KHARAGPUR,TIER 1
IIT KOTTAYAM,TIER 1
IIT MADRAS,TIER 1
IIT MANDI,TIER 1
IIT PATNA,TIER 1
IIT ROORKEE,TIER 1
IIT TIRUPATI,TIER 1
